"","id","Day60","Day62","Day65","Day67","Day70","Day72","Day75","Day77","Day80","Day82","Day85","Day87","Day90","Day92","Day95","Day97","Day100","Day102","Day105","Day107","Day110","Day112","Day115","Day117","Day120","Day122","Day125","Day127","Day130","Day132","Day135","Day137","Day140","Day142","Day145","Day150","Day152","Day155","Day157","Day160","Day162","Day165","Day167","Day170","Day172","Day175","Day177","Day180","Day182","Day185","Day187","Day190","Day192","Day195","Day197","Day200","Day202","Day205","Day207","Day210","Day212","Day215","Day217","Day220","Day222","Day225","Day227","Day229","Day230","Day232","Day235","Day239","Day240","Day242","Day247","Day249","Day250","Day252","Day255","Day257","Day259","Day260","Day262","Day265","Day267","Day270","Day272"
"S2EB16","S2EB16",0.0824500024318695,NA,NA,NA,NA,NA,NA,NA,0.170749999582767,NA,NA,NA,NA,0.095550000667572,NA,0.0429999995976686,0.0623499993234873,NA,NA,0.0583000015467405,0.0440000016242266,0.0386999994516373,NA,0.0189000004902482,0.000499999991006916,NA,0.0307499999180436,0.0212999992072582,0.0445499997586012,0.0160499997437,NA,NA,0.014299999922514,0.0321499994024634,NA,0.0110499998554587,NA,0.276299998164177,0.0180000001564622,0.0338000003248453,NA,NA,NA,0.0526999998837709,NA,NA,NA,0.0192999998107553,0.0177499996498227,NA,0.0217000003904104,0.0268999999389052,0.0865000002086163,0.0252000000327826,0.0243499996140599,0.0192499998956919,NA,0.0295000001788139,0.0465500000864267,NA,0.340200006961823,0.0214999997988343,NA,0.0210999995470047,0.00824999995529652,NA,NA,NA,0.0142000000923872,0.0161499995738268,NA,NA,0.0143999997526407,NA,NA,NA,0.0478499997407198,NA,0.0188999995589256,NA,NA,NA,0.0157500002533197,NA,NA,0.0177500005811453,0.0184499993920326
"S2EB17","S2EB17",0.0832500010728836,NA,NA,NA,NA,NA,NA,NA,0.180249996483326,NA,NA,NA,NA,0.0852999985218048,NA,0.0342499995604157,0.0706500001251698,NA,NA,0.0574500001966953,0.0343999993056059,0.0345999989658594,NA,0.0108000002801418,9.99999974737875e-05,NA,0.0263999998569489,0.0186999994330108,0.0508500002324581,0.0168999996967614,NA,NA,0.0164499995298684,0.0301499990746379,NA,0.00669999979436398,NA,0.211199998855591,0.0153000000864267,0.0375500004738569,NA,NA,NA,0.046000000089407,NA,NA,NA,0.0178999998606741,0.0138000003062189,NA,0.0178999993950129,0.0256500001996756,0.0875499993562698,0.0250500002875924,0.0219499999657273,0.0208499999716878,NA,0.0325500015169382,0.00694999983534217,NA,0.393799990415573,0.021200000308454,NA,0.019849999807775,0.00770000019110739,NA,NA,NA,0.0158000001683831,0.0143499998375773,NA,NA,0.0167500004172325,NA,NA,NA,0.0564500000327826,NA,0.01259999955073,NA,NA,NA,0.0150999999605119,NA,NA,0.0130500001832843,0.0154500002972782
"S2EB18","S2EB18",0.0868000015616417,NA,NA,NA,NA,NA,NA,NA,0.191950000822544,NA,NA,NA,NA,0.0766999982297421,NA,0.0343000013381243,0.097350001335144,NA,NA,0.048200000077486,0.0295499991625547,0.0361500009894371,NA,0.0181999998167157,0.00224999996135011,NA,0.0284000001847744,0.020750000141561,0.0902999974787235,0.021200000308454,NA,NA,0.0184000004082918,0.0294500002637506,NA,0.0106500000692904,NA,0.0483499988913536,0.0209499998018146,0.0330000016838312,NA,NA,NA,0.0462999995797873,NA,0.274600014090538,NA,0.0215499997138977,0.0183500004932284,NA,0.0219000000506639,0.0280999997630715,0.133799999952316,0.0235000001266599,0.0261500002816319,0.0209999997168779,NA,0.0290999999269843,0.00714999972842634,NA,0.211199998855591,0.0264999996870756,NA,0.0242999996989965,0.00970000005327165,NA,NA,NA,0.0173500003293157,0.0175000000745058,NA,NA,0.0153500000014901,NA,NA,NA,0.0503000002354383,NA,0.0180000001564622,NA,NA,NA,0.015300000552088,NA,NA,0.0176999997347593,0.0202500000596046
"S2EB19","S2EB19",0.0840499997138977,NA,NA,NA,NA,NA,NA,NA,0.200000002980232,NA,NA,NA,NA,0.102449998259544,NA,0.0308499997481704,0.170299999415874,NA,NA,0.0369499996304512,0.0276999995112419,0.0421500001102686,NA,0.0190500002354383,0.00120000002425513,NA,0.0318499999120831,0.0214999997988343,0.0898999981582165,0.0210499996319413,NA,NA,0.0194499995559454,0.0286999996751547,NA,0.00675000017508864,NA,0.0812999978661537,0.023199999704957,0.0381499994546175,NA,NA,NA,0.0581000000238419,NA,0.304999992251396,NA,0.0215500006452203,0.0155000002123415,NA,0.0238000005483627,0.0298500005155802,0.0386500004678965,0.0269500007852912,0.0238500004634261,0.0199000001884997,NA,0.0299500003457069,0.00634999992325902,NA,0.0398499984294176,0.0248499996960163,NA,0.0206000003963709,0.0117500000633299,NA,NA,NA,0.018499999307096,0.0152999996207654,NA,NA,0.0156000005081296,NA,NA,NA,0.0674499999731779,NA,0.0193499997258186,NA,NA,NA,0.0202499995939434,NA,NA,0.0253499997779727,0.0324500016868114
"S2EB20","S2EB20",0.0755000002682209,NA,NA,NA,NA,NA,NA,NA,0.179750002920628,NA,NA,NA,NA,0.0822999998927116,NA,0.0280499998480082,0.16499999910593,NA,NA,0.0268000001087785,0.021650000475347,0.0317500000819564,NA,0.0162499994039536,0.00300000014249235,NA,0.0290999999269843,0.0192999998107553,0.161899998784065,0.0126000000163913,NA,0.297700002789497,0.020299999974668,0.0248500006273389,NA,0.00939999986439943,NA,0.0395500008016825,0.0148000000044703,0.0416500009596348,NA,NA,NA,0.0604999996721745,NA,NA,NA,0.0211500003933907,0.0173500003293157,NA,0.0235500000417233,0.0292999995872378,0.0642499998211861,0.0259999996051192,0.0253499997779727,0.020299999974668,NA,0.0285499999299645,0.00759999989531934,NA,NA,0.0264999996870756,NA,0.0195500003173947,0.0118499998934567,NA,NA,NA,0.018099999986589,0.0166499996557832,NA,NA,0.016499999910593,NA,NA,NA,0.0526999998837709,NA,0.0185000002384186,NA,NA,NA,0.0194999994710088,NA,NA,0.0166499996557832,0.0206499993801117
"S2EB21","S2EB21",0.0673500001430511,NA,NA,NA,NA,NA,NA,NA,0.188249997794628,NA,NA,NA,NA,0.112449999898672,NA,0.0445499997586012,0.131599999964237,NA,NA,0.0314000006765127,0.0353500004857779,0.0465999990701675,NA,0.0256000002846122,0.00384999997913837,NA,0.0377000011503696,0.0263499999418855,0.116099998354912,0.0166999995708466,NA,NA,0.0174500001594424,0.0244999993592501,NA,0.0125500001013279,NA,0.0444499999284744,0.0191000001505017,0.0496500004082918,NA,NA,NA,0.0687499977648258,NA,NA,NA,0.0267000002786517,0.0230499999597669,NA,0.0270999995991588,0.0397999994456768,0.115699999034405,0.0293000005185604,0.0310999993234873,0.0247499998658895,NA,0.0354500003159046,0.0540999993681908,NA,NA,0.0290000000968575,NA,0.0249500004574656,0.018499999307096,NA,NA,NA,0.019399999640882,0.0224999999627471,NA,NA,0.0254000006243587,NA,NA,NA,0.0646000001579523,NA,0.0248999996110797,NA,NA,NA,0.0280500007793307,NA,NA,0.0284000001847744,0.0286500006914139
"S2EB24","S2EB24",0.0729999989271164,NA,NA,NA,NA,NA,NA,NA,0.188950002193451,NA,NA,NA,NA,0.0752499997615814,NA,0.0408999994397163,0.0746000036597252,NA,NA,0.0425999984145164,0.0329999998211861,0.0431999992579222,NA,0.0217499993741512,0.0349499993026257,NA,0.0246000001206994,0.0247999997809529,0.117199998348951,0.0270499996840954,NA,NA,0.032600000500679,0.017299999948591,NA,0.0171500006690621,0.146899998188019,0.0412000007927418,0.0235500000417233,0.0275499997660518,NA,NA,NA,NA,NA,NA,NA,0.0249999994412065,0.023199999704957,NA,0.024100000038743,0.0389499999582767,NA,0.0247499998658895,0.0263999998569489,0.0251000002026558,NA,0.0279999999329448,0.0212500002235174,NA,0.0235999999567866,0.17229999601841,0.394400000572205,0.0271000005304813,0.0200499994680285,NA,NA,NA,0.0171499997377396,0.0205499995499849,NA,NA,0.0112499999813735,NA,NA,NA,0.129000000655651,NA,0.022299999371171,NA,NA,NA,0.025000000372529,NA,NA,0.0239000003784895,0.0305500002577901
"S2EB25","S2EB25",0.0733500011265278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05489999987185,NA,0.0323999999091029,0.0671500004827976,NA,NA,0.0382500011473894,0.035300001502037,0.0379000008106232,NA,0.0181999998167157,0.0330999996513128,NA,0.0263499999418855,0.0249500004574656,0.057600000873208,0.0169000001624227,NA,NA,0.0272000003606081,0.0113499998115003,NA,0.00915000028908253,0.225700005888939,0.0357000008225441,0.0203499994240701,0.0193000007420778,NA,NA,NA,NA,NA,NA,NA,0.020750000141561,0.0181499999016523,NA,0.0216000005602837,0.0348499994724989,NA,0.019000000320375,0.0218500001356006,0.0175999999046326,NA,0.0281499996781349,0.0181999998167157,NA,0.0188499996438622,0.304399996995926,0.454599991440773,0.0250500002875924,0.0136499996297061,NA,NA,NA,0.0157500002533197,0.0175499995239079,NA,NA,0.014299999922514,NA,NA,NA,0.075899999588728,NA,0.0133499996736646,NA,NA,NA,0.0171499997377396,NA,NA,0.0197999998927116,0.025450000539422
"S2FA09","S2FA09",0.0785999968647957,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0798000022768974,NA,NA,0.156200006604195,NA,0.0306000001728535,NA,0.0337999984622002,NA,NA,0.0292000006884336,0.0233999993652105,NA,NA,NA,NA,0.0208999998867512,0.0210999995470047,0.206900000572205,0.0127999996766448,NA,NA,0.0535999983549118,0.0197000000625849,NA,0.0115000000223517,0.185000002384186,0.0406999997794628,0.0249000005424023,0.0756999999284744,NA,0.0559000000357628,NA,NA,NA,NA,NA,0.0253999996930361,0.0187999997287989,NA,0.0239000003784895,NA,NA,0.0127999996766448,0.0187999997287989,0.0254999995231628,NA,0.0386999994516373,0.495999991893768,NA,0.0299999993294477,0.0240000002086163,0.0324999988079071,0.0263000000268221,0.0177999995648861,NA,NA,NA,0.0137999998405576,0.0221999995410442,0.0557999983429909,NA,0.0175999999046326,NA,NA,NA,NA,NA,0.0247000008821487,NA,NA,NA,0.0348999984562397,NA,0.0476000010967255,0.0166999995708466,0.0269000008702278
"S2FA13","S2FA13",0.1216000020504,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0800999999046326,NA,NA,0.097900003194809,NA,0.0364000014960766,NA,0.0355999991297722,NA,0.341199994087219,0.0335999988019466,0.0282000005245209,NA,NA,NA,NA,0.0197999998927116,0.0208999998867512,0.331999987363815,0.00789999961853027,NA,NA,0.0507999993860722,0.0186999998986721,NA,0.0127999996766448,0.224800005555153,0.0370000004768372,0.0241999998688698,0.0678000003099442,NA,0.0562999993562698,NA,NA,NA,NA,NA,0.0242999996989965,0.0144999995827675,NA,0.0183000005781651,0.102799996733665,NA,0.0108000002801418,0.0135000003501773,0.0223999992012978,NA,0.0381000004708767,0.628000020980835,NA,0.0269000008702278,0.023700000718236,0.0383000001311302,0.0267999991774559,0.0153999999165535,NA,NA,NA,0.0182000007480383,0.0247000008821487,0.0483999997377396,NA,0.024100000038743,NA,NA,NA,NA,NA,0.0214000009000301,NA,NA,NA,0.0339000001549721,NA,0.0309999994933605,0.0211999993771315,0.0242999996989965
