"","id","Day60","Day62","Day65","Day67","Day70","Day72","Day75","Day77","Day80","Day82","Day85","Day87","Day90","Day92","Day95","Day97","Day100","Day102","Day105","Day107","Day110","Day112","Day115","Day117","Day120","Day122","Day125","Day127","Day130","Day132","Day135","Day137","Day140","Day142","Day145","Day150","Day152","Day155","Day157","Day160","Day162","Day165","Day167","Day170","Day172","Day175","Day177","Day180","Day182","Day185","Day187","Day190","Day192","Day195","Day197","Day200","Day202","Day205","Day207","Day210","Day212","Day215","Day217","Day220","Day222","Day225","Day227","Day229","Day230","Day232","Day235","Day239","Day240","Day242","Day247","Day249","Day250","Day252","Day255","Day257","Day259","Day260","Day262","Day265","Day267","Day270","Day272"
"S2EB16","S2EB16",0.198600001633167,NA,NA,NA,NA,NA,NA,NA,0.266499996185303,NA,NA,NA,NA,0.231449998915195,NA,0.207800000905991,0.235950000584126,NA,NA,0.24439999461174,0.236700005829334,0.363000005483627,NA,0.402700006961823,0.0810000002384186,NA,0.35555000603199,0.443999990820885,0.292399987578392,0.448499992489815,NA,NA,0.259800001978874,0.471499994397163,NA,0.383900001645088,NA,0.459999993443489,0.455200001597404,0.371350005269051,NA,NA,NA,0.122999999672174,NA,NA,NA,0.365599989891052,0.388099998235703,NA,0.38994999229908,0.36379998922348,0.416999995708466,0.369299992918968,0.440999999642372,0.351549997925758,NA,0.318299993872643,0.403799995779991,NA,0.475099995732307,0.335900008678436,NA,0.34825000166893,0.360100001096725,NA,NA,NA,0.295800000429153,0.370600000023842,NA,NA,0.285049989819527,NA,NA,NA,0.214400000870228,NA,0.326449990272522,NA,NA,NA,0.303149998188019,NA,NA,0.304250001907349,0.352149993181229
"S2EB17","S2EB17",0.170550003647804,NA,NA,NA,NA,NA,NA,NA,0.261449992656708,NA,NA,NA,NA,0.240549996495247,NA,0.187849998474121,0.207800000905991,NA,NA,0.245799995958805,0.230050005018711,0.265799999237061,NA,0.286100000143051,0.0634999983012676,NA,0.329150006175041,0.340550005435944,0.300700008869171,0.374249994754791,NA,NA,0.214950002729893,0.415999993681908,NA,0.304250001907349,NA,0.486900001764297,0.29925000667572,0.341299995779991,NA,NA,NA,0.116200000047684,NA,NA,NA,0.296149998903275,0.34154999256134,NA,0.347450003027916,0.327699989080429,0.362499997019768,0.343299999833107,0.330099999904633,0.308200001716614,NA,0.312399998307228,0.179549999535084,NA,0.483549997210503,0.27794998884201,NA,0.257550001144409,0.305150002241135,NA,NA,NA,0.284449994564056,0.284700006246567,NA,NA,0.311450004577637,NA,NA,NA,0.247699998319149,NA,0.229999996721745,NA,NA,NA,0.252949997782707,NA,NA,0.192650005221367,0.157300002872944
"S2EB18","S2EB18",0.19200000166893,NA,NA,NA,NA,NA,NA,NA,0.2795500010252,NA,NA,NA,NA,0.213749997317791,NA,0.177100002765656,0.227149993181229,NA,NA,0.215499997138977,0.246699996292591,0.373449996113777,NA,0.382799997925758,0.0811999998986721,NA,0.364750012755394,0.40514999628067,0.344800010323524,0.432500004768372,NA,NA,0.229550004005432,0.475050002336502,NA,0.366799995303154,NA,0.477899998426437,0.433899998664856,0.337399989366531,NA,NA,NA,0.145400002598763,NA,0.485799998044968,NA,0.338699996471405,0.413749992847443,NA,0.386099994182587,0.361749991774559,0.41499999165535,0.38340000808239,0.423749998211861,0.347900003194809,NA,0.325699999928474,0.144550003111362,NA,0.354650005698204,0.314149990677834,NA,0.304700002074242,0.337200000882149,NA,NA,NA,0.306400001049042,0.354599997401237,NA,NA,0.305600002408028,NA,NA,NA,0.203900001943111,NA,0.293400004506111,NA,NA,NA,0.295300006866455,NA,NA,0.26434999704361,0.244300000369549
"S2EB19","S2EB19",0.17314999550581,NA,NA,NA,NA,NA,NA,NA,0.2550999969244,NA,NA,NA,NA,0.247649997472763,NA,0.16974999755621,0.315150007605553,NA,NA,0.107650000602007,0.218600004911423,0.292300000786781,NA,0.318999990820885,0.0711999982595444,NA,0.307050004601479,0.337150007486343,0.340000003576279,0.365850001573563,NA,NA,0.201650001108646,0.398400008678436,NA,0.298649996519089,NA,0.447850003838539,0.374000012874603,0.333650007843971,NA,NA,NA,0.27530001103878,NA,0.538000017404556,NA,0.281749993562698,0.359150007367134,NA,0.328099995851517,0.301850005984306,0.240800000727177,0.318549990653992,0.359549999237061,0.284299999475479,NA,0.268350005149841,0.160950005054474,NA,0.122600000351667,0.26434999704361,NA,0.259350001811981,0.306449994444847,NA,NA,NA,0.251350000500679,0.239749997854233,NA,NA,0.274749994277954,NA,NA,NA,0.201299995183945,NA,0.222100004553795,NA,NA,NA,0.222300000488758,NA,NA,0.311199992895126,0.319900006055832
"S2EB20","S2EB20",0.16754999756813,NA,NA,NA,NA,NA,NA,NA,0.246150001883507,NA,NA,NA,NA,0.217349998652935,NA,0.151549994945526,0.275550007820129,NA,NA,0.0608500000089407,0.200550004839897,0.332100003957748,NA,0.326800003647804,0.0793999992311001,NA,0.351999998092651,0.31920000910759,0.438550010323524,0.380449995398521,NA,0.620350003242493,0.213550001382828,0.424050003290176,NA,0.336649999022484,NA,0.446799993515015,0.215299993753433,0.336249992251396,NA,NA,NA,0.401000007987022,NA,NA,NA,0.3125,0.370299994945526,NA,0.368750005960464,0.32964999973774,0.323699995875359,0.341499999165535,0.377100005745888,0.322300001978874,NA,0.304049998521805,0.187250003218651,NA,NA,0.289749994874001,NA,0.255300000309944,0.332100003957748,NA,NA,NA,0.25789999961853,0.304749995470047,NA,NA,0.262200012803078,NA,NA,NA,0.170899994671345,NA,0.273850008845329,NA,NA,NA,0.257150009274483,NA,NA,0.175749994814396,0.255550011992455
"S2EB21","S2EB21",0.190600000321865,NA,NA,NA,NA,NA,NA,NA,0.296899989247322,NA,NA,NA,NA,0.275750011205673,NA,0.204049997031689,0.249700002372265,NA,NA,0.0691500008106232,0.2491500005126,0.326800003647804,NA,0.407099992036819,0.0854000002145767,NA,0.407199993729591,0.472299993038177,0.439249992370605,0.463949993252754,NA,NA,0.234499998390675,0.419249996542931,NA,0.399949997663498,NA,0.462050005793571,0.23394999653101,0.457399994134903,NA,NA,NA,0.480800002813339,NA,NA,NA,0.38340000808239,0.422199994325638,NA,0.400800004601479,0.396800011396408,0.36429999768734,0.349800005555153,0.470600008964539,0.39444999396801,NA,0.358900010585785,0.188699997961521,NA,NA,0.333099991083145,NA,0.375,0.37559999525547,NA,NA,NA,0.359249994158745,0.313749998807907,NA,NA,0.36795000731945,NA,NA,NA,0.197999998927116,NA,0.27360001206398,NA,NA,NA,0.314350008964539,NA,NA,0.321099996566772,0.342950001358986
"S2EB24","S2EB24",0.193300001323223,NA,NA,NA,NA,NA,NA,NA,0.288500010967255,NA,NA,NA,NA,0.219949997961521,NA,0.210950002074242,0.237400002777576,NA,NA,0.264200001955032,0.322750002145767,0.491799995303154,NA,0.5623499751091,0.594750016927719,NA,0.460599988698959,0.556450009346008,0.436450004577637,0.56989997625351,NA,NA,0.606100022792816,0.536700010299683,NA,0.497050002217293,0.437450006604195,0.517100006341934,0.544299989938736,0.472350001335144,NA,NA,NA,NA,NA,NA,NA,0.467849999666214,0.51979997754097,NA,0.455600008368492,0.521949976682663,NA,0.452050000429153,0.555350005626678,0.456250011920929,NA,0.415199995040894,0.501199990510941,NA,0.496249988675117,0.41779999434948,0.548650026321411,0.430349990725517,0.470600008964539,NA,NA,NA,0.382100000977516,0.44310000538826,NA,NA,0.0993999987840652,NA,NA,NA,0.414799988269806,NA,0.368000000715256,NA,NA,NA,0.371249988675117,NA,NA,0.326949998736382,0.430050000548363
"S2EB25","S2EB25",0.17229999601841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.169600002467632,NA,0.180500000715256,0.227200001478195,NA,NA,0.209349997341633,0.262850001454353,0.336099997162819,NA,0.396599993109703,0.454000011086464,NA,0.376350000500679,0.462299987673759,0.471500009298325,0.420849993824959,NA,NA,0.463850006461143,0.361399993300438,NA,0.368400007486343,0.480599999427795,0.404899999499321,0.428450003266335,0.146449998021126,NA,NA,NA,NA,NA,NA,NA,0.385600000619888,0.40854999423027,NA,0.411799997091293,0.449450001120567,NA,0.326299995183945,0.440599992871284,0.362949997186661,NA,0.386649996042252,0.396750003099442,NA,0.349250003695488,0.506999999284744,0.628150016069412,0.384800001978874,0.389400005340576,NA,NA,NA,0.361299991607666,0.289350003004074,NA,NA,0.117150001227856,NA,NA,NA,0.432600006461143,NA,0.242600001394749,NA,NA,NA,0.309400007128716,NA,NA,0.295900002121925,0.284900009632111
"S2FA09","S2FA09",0.160799995064735,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.113399997353554,NA,NA,0.290199995040894,NA,0.164299994707108,NA,0.186000004410744,NA,NA,0.268099993467331,0.137500002980232,NA,NA,NA,NA,0.34850001335144,0.365399986505508,0.521399974822998,0.292499989271164,NA,NA,0.225199997425079,0.428700000047684,NA,0.341600000858307,0.468899995088577,0.439200013875961,0.385800004005432,0.358799993991852,NA,0.259999990463257,NA,NA,NA,NA,NA,0.327800005674362,0.419900000095367,NA,0.409200012683868,NA,NA,0.103799998760223,0.409599989652634,0.33160001039505,NA,0.332599997520447,0.684599995613098,NA,0.362399995326996,0.342599987983704,0.344199985265732,0.288399994373322,0.361400008201599,NA,NA,NA,0.27360001206398,0.323399990797043,0.360599994659424,NA,0.271200001239777,NA,NA,NA,NA,NA,0.280200004577637,NA,NA,NA,0.32480001449585,NA,0.235799998044968,0.189999997615814,0.318699985742569
"S2FA13","S2FA13",0.232400000095367,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11370000243187,NA,NA,0.251399993896484,NA,0.195800006389618,NA,0.207900002598763,NA,0.397700011730194,0.273299992084503,0.13289999961853,NA,NA,NA,NA,0.33160001039505,0.366400003433228,0.61599999666214,0.140900000929832,NA,NA,0.223299995064735,0.400700002908707,NA,0.325399994850159,0.521600008010864,0.397000014781952,0.375800013542175,0.255400002002716,NA,0.23759999871254,NA,NA,NA,NA,NA,0.305999994277954,0.386799991130829,NA,0.361000001430511,0.408600002527237,NA,0.0810000002384186,0.375800013542175,0.311599999666214,NA,0.323000013828278,0.721499979496002,NA,0.322200000286102,0.307599991559982,0.371800005435944,0.291200011968613,0.323199987411499,NA,NA,NA,0.300799995660782,0.305599987506866,0.319599986076355,NA,0.333400011062622,NA,NA,NA,NA,NA,0.245800003409386,NA,NA,NA,0.282200008630753,NA,0.235599994659424,0.24719999730587,0.281899988651276
