"","id","Day60","Day62","Day65","Day67","Day70","Day72","Day75","Day77","Day80","Day82","Day85","Day87","Day90","Day92","Day95","Day97","Day100","Day102","Day105","Day107","Day110","Day112","Day115","Day117","Day120","Day122","Day125","Day127","Day130","Day132","Day135","Day137","Day140","Day142","Day145","Day150","Day152","Day155","Day157","Day160","Day162","Day165","Day167","Day170","Day172","Day175","Day177","Day180","Day182","Day185","Day187","Day190","Day192","Day195","Day197","Day200","Day202","Day205","Day207","Day210","Day212","Day215","Day217","Day220","Day222","Day225","Day227","Day229","Day230","Day232","Day235","Day239","Day240","Day242","Day247","Day249","Day250","Day252","Day255","Day257","Day259","Day260","Day262","Day265","Day267","Day270","Day272"
"S2EB16","S2EB16",0.109199997037649,NA,NA,NA,NA,NA,NA,NA,0.168549999594688,NA,NA,NA,NA,0.115600001066923,NA,0.0889999978244305,0.100750003010035,NA,NA,0.100949998944998,0.0464500002563,0.0405000001192093,NA,0.0209499998018146,0.00384999997913837,NA,0.0289000002667308,0.022350000217557,0.0422999989241362,0.0255500003695488,NA,NA,0.0143500003032386,0.0400000009685755,NA,0.0143499998375773,NA,0.232900001108646,0.0221500005573034,0.0279500000178814,NA,NA,NA,0.0275999996811152,NA,NA,NA,0.0174500001594424,0.0175999999046326,NA,0.0224999999627471,0.0210499996319413,0.115000002086163,0.0274500008672476,0.022749999538064,0.0185000002384186,NA,0.0214999997988343,0.0527999997138977,NA,0.476199999451637,0.0261500002816319,NA,0.0186499999836087,0.018099999986589,NA,NA,NA,0.0157499997876585,0.0222499994561076,NA,NA,0.0181999998167157,NA,NA,NA,0.0353499986231327,NA,0.020350000821054,NA,NA,NA,0.0253000007942319,NA,NA,0.0139000001363456,0.0292999995872378
"S2EB17","S2EB17",0.0895500034093857,NA,NA,NA,NA,NA,NA,NA,0.167100004851818,NA,NA,NA,NA,0.121150001883507,NA,0.0648500025272369,0.103749997913837,NA,NA,0.0847000032663345,0.0302499998360872,0.0304000005125999,NA,0.0152500001713634,0.00459999986924231,NA,0.0272499993443489,0.0189000004902482,0.0899500027298927,0.0213000001385808,NA,NA,0.0138000003062189,0.0360000003129244,NA,0.0119000002741814,NA,0.0506000015884638,0.0176499998196959,0.029449999332428,NA,NA,NA,0.0193499997258186,NA,NA,NA,0.0172499995678663,0.0159999998286366,NA,0.0182999996468425,0.0193499997258186,0.0976000018417835,0.0265000006183982,0.0231499997898936,0.0163500001654029,NA,0.0246999999508262,0.0127500002272427,NA,0.337400004267693,0.0235500000417233,NA,0.0192500008270144,0.0151999997906387,NA,NA,NA,0.0192500008270144,0.0186499999836087,NA,NA,0.0233500003814697,NA,NA,NA,0.0422000009566545,NA,0.0173000004142523,NA,NA,NA,0.0267499992623925,NA,NA,0.0105499997735023,0.023199999704957
"S2EB18","S2EB18",0.0968499965965748,NA,NA,NA,NA,NA,NA,NA,0.18554999679327,NA,NA,NA,NA,0.10164999961853,NA,0.0613000001758337,0.133199997246265,NA,NA,0.0718500018119812,0.0329999998211861,0.0372500009834766,NA,0.0192500008270144,0.00384999997913837,NA,0.0295000001788139,0.0221499996259809,0.0862500034272671,0.0377999991178513,NA,NA,0.0127000003121793,0.0363999996334314,NA,0.0150000001303852,NA,0.0432500001043081,0.0224000001326203,0.0298000006005168,NA,NA,NA,0.0194999994710088,NA,0.255700007081032,NA,0.0210000006482005,0.0191000001505017,NA,0.0240500001236796,0.0230999998748302,0.141100004315376,0.0268000001087785,0.0277500003576279,0.0195000004023314,NA,0.0250500002875924,0.0111500001512468,NA,0.277400001883507,0.0282000005245209,NA,0.0226499997079372,0.0215499997138977,NA,NA,NA,0.0210000006482005,0.0255000004544854,NA,NA,0.0246999999508262,NA,NA,NA,0.0357000008225441,NA,0.0232499996200204,NA,NA,NA,0.0371000003069639,NA,NA,0.0165499998256564,0.0303999995812774
"S2EB19","S2EB19",0.0883000008761883,NA,NA,NA,NA,NA,NA,NA,0.168400004506111,NA,NA,NA,NA,0.132850006222725,NA,0.0593000017106533,0.209700003266335,NA,NA,0.0383000001311302,0.0325500005856156,0.0437000002712011,NA,0.023199999704957,0.0034999999916181,NA,0.0306500000879169,0.0224000001326203,0.0799999982118607,0.0447000004351139,NA,NA,0.0151000004261732,0.0427999999374151,NA,0.0148999998345971,NA,0.064350001513958,0.0235000001266599,0.0322999991476536,NA,NA,NA,0.0279500000178814,NA,0.276000007987022,NA,0.0191999999806285,0.0171499997377396,NA,0.02364999987185,0.0213000001385808,0.0447500012814999,0.0285499999299645,0.0283999992534518,0.0179499993100762,NA,0.0242999996989965,0.0126000000163913,NA,0.0481499992311001,0.0264499997720122,NA,0.0220999997109175,0.0230499999597669,NA,NA,NA,0.0247000008821487,0.0260000005364418,NA,NA,0.0294000003486872,NA,NA,NA,0.0484999995678663,NA,0.0210499996319413,NA,NA,NA,0.036599999293685,NA,NA,0.0219499999657273,0.039249999448657
"S2EB20","S2EB20",0.0819999985396862,NA,NA,NA,NA,NA,NA,NA,0.166200004518032,NA,NA,NA,NA,0.108600001782179,NA,0.0521499998867512,0.140949994325638,NA,NA,0.0250499993562698,0.0246999999508262,0.037049999460578,NA,0.0162000004202127,0.00294999999459833,NA,0.0285999998450279,0.0187499998137355,0.156850002706051,0.0220000008121133,NA,0.241149999201298,0.013950000051409,0.0355500001460314,NA,0.0126499999314547,NA,0.0381499994546175,0.0162000004202127,0.0351500008255243,NA,NA,NA,0.037949999794364,NA,NA,NA,0.0204499997198582,0.0169000001624227,NA,0.0218000002205372,0.021650000475347,0.0907500013709068,0.0257999999448657,0.0244500003755093,0.0186499999836087,NA,0.0256000002846122,0.0125000001862645,NA,NA,0.0260000005364418,NA,0.0191000001505017,0.0203499998897314,NA,NA,NA,0.0204499997198582,0.0235000001266599,NA,NA,0.0260500004515052,NA,NA,NA,0.0365000013262033,NA,0.0219499999657273,NA,NA,NA,0.0290000000968575,NA,NA,0.00985000003129244,0.0302499998360872
"S2EB21","S2EB21",0.078600000590086,NA,NA,NA,NA,NA,NA,NA,0.183250002563,NA,NA,NA,NA,0.113949999213219,NA,0.0664499998092651,0.0999500006437302,NA,NA,0.0263999998569489,0.0384999997913837,0.0502499993890524,NA,0.0310499994084239,0.00589999998919666,NA,0.0357500016689301,0.0288500003516674,0.119950000196695,0.0260500004515052,NA,NA,0.0159999998286366,0.037949999794364,NA,0.016499999910593,NA,0.0431500002741814,0.0190500002354383,0.0419499985873699,NA,NA,NA,0.0493999999016523,NA,NA,NA,0.0219999998807907,0.0229500001296401,NA,0.0286499997600913,0.0307000000029802,0.101350001990795,0.0300500001758337,0.0323500009253621,0.0244499994441867,NA,0.030349999666214,0.0263999998569489,NA,NA,0.0320500005036592,NA,0.0275499997660518,0.0283499993383884,NA,NA,NA,0.0296499999240041,0.0354999992996454,NA,NA,0.0328000001609325,NA,NA,NA,0.0432999990880489,NA,0.0287499995902181,NA,NA,NA,0.0453500002622604,NA,NA,0.0249000005424023,0.040250001475215
"S2EB24","S2EB24",0.0916999988257885,NA,NA,NA,NA,NA,NA,NA,0.192100003361702,NA,NA,NA,NA,0.103849999606609,NA,0.0768500007688999,0.106050003319979,NA,NA,0.0709000006318092,0.0368499998003244,0.0433000009506941,NA,0.0224000001326203,0.031649999320507,NA,0.0271500004455447,0.0268000001087785,0.10105000063777,0.0342000015079975,NA,NA,0.0286500006914139,0.0246000001206994,NA,0.0200999993830919,0.102800000458956,0.0374000016599894,0.0263999998569489,0.0263000000268221,NA,NA,NA,NA,NA,NA,NA,0.0248999996110797,0.0246000001206994,NA,0.0246500000357628,0.0323499999940395,NA,0.0271499995142221,0.027449999935925,0.0233500003814697,NA,0.0252999998629093,0.0272000003606081,NA,0.0297499997541308,0.180299997329712,0.309999987483025,0.0289000002667308,0.027449999935925,NA,NA,NA,0.0246000001206994,0.0287999995052814,NA,NA,0.0169999999925494,NA,NA,NA,0.102000001817942,NA,0.0262000001966953,NA,NA,NA,0.045099999755621,NA,NA,0.0298499995842576,0.0481500010937452
"S2EB25","S2EB25",0.0810000002384186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0769999995827675,NA,0.0579000003635883,0.093299999833107,NA,NA,0.0607500001788139,0.0371499992907047,0.0384499989449978,NA,0.0198999997228384,0.0281499996781349,NA,0.0244000004604459,0.0215499997138977,0.144500002264977,0.0269499998539686,NA,NA,0.0211000004783273,0.0162000004202127,NA,0.0140500003471971,0.163800001144409,0.0356499999761581,0.0206000003963709,0.0155000002123415,NA,NA,NA,NA,NA,NA,NA,0.0183999994769692,0.018099999986589,NA,0.0215500006452203,0.0268500000238419,NA,0.0202500000596046,0.0227000005543232,0.0187999997287989,NA,0.0218000002205372,0.0196500001475215,NA,0.0242499997839332,0.281200006604195,0.491800010204315,0.0239499993622303,0.019900000654161,NA,NA,NA,0.0205500004813075,0.0191000001505017,NA,NA,0.0134000000543892,NA,NA,NA,0.0601499993354082,NA,0.0140500003471971,NA,NA,NA,0.0265500005334616,NA,NA,0.0173000004142523,0.0327000003308058
"S2FA09","S2FA09",0.0808999985456467,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0663999989628792,NA,NA,0.173099994659424,NA,0.049600001424551,NA,0.0542999990284443,NA,NA,0.0249000005424023,0.0197999998927116,NA,NA,NA,NA,0.0190999992191792,0.0186999998986721,0.163699999451637,0.0187999997287989,NA,NA,0.046000000089407,0.0274000000208616,NA,0.0154999997466803,0.165999993681908,0.035300001502037,0.0226000007241964,0.0878999978303909,NA,0.0447999984025955,NA,NA,NA,NA,NA,0.0175000000745058,0.0219999998807907,NA,0.0240000002086163,NA,NA,0.0156999994069338,0.0239000003784895,0.0200999993830919,NA,0.0328000001609325,0.41839998960495,NA,0.0320999994874001,0.0269000008702278,0.028999999165535,0.0269000008702278,0.0252000000327826,NA,NA,NA,0.0157999992370605,0.025000000372529,0.047800000756979,NA,0.0255999993532896,NA,NA,NA,NA,NA,0.0197999998927116,NA,NA,NA,0.046399999409914,NA,0.0767000019550323,0.0120000001043081,0.0392000004649162
"S2FA13","S2FA13",0.129399999976158,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0662999972701073,NA,NA,0.138799995183945,NA,0.0621999986469746,NA,0.0640000030398369,NA,0.246500000357628,0.0283000003546476,0.0207000002264977,NA,NA,NA,NA,0.0181000009179115,0.0201999992132187,0.348699986934662,0.0108000002801418,NA,NA,0.030799999833107,0.0243999995291233,NA,0.0136000001803041,0.194399997591972,0.0306000001728535,0.023199999704957,0.0430000014603138,NA,0.0425000004470348,NA,NA,NA,NA,NA,0.0176999997347593,0.0153000000864267,NA,0.0214000009000301,0.0557999983429909,NA,0.0141000002622604,0.0199999995529652,0.0168999992311001,NA,0.0350000001490116,0.60479998588562,NA,0.0273000001907349,0.025000000372529,0.0320999994874001,0.0281000006943941,0.0214000009000301,NA,NA,NA,0.0171000007539988,0.0230999998748302,0.0423999987542629,NA,0.0273000001907349,NA,NA,NA,NA,NA,0.0209999997168779,NA,NA,NA,0.0388000011444092,NA,0.0288999993354082,0.0254999995231628,0.0324999988079071
"S2FA14","S2FA14",0.217899993062019,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0714000016450882,NA,NA,0.124899998307228,NA,0.0766000002622604,NA,0.0794999971985817,NA,0.585600018501282,0.0373000018298626,0.0252000000327826,NA,NA,0.41609999537468,NA,0.0223999992012978,0.0241999998688698,0.0964000001549721,0.0102000003680587,NA,NA,0.0333999991416931,0.0206000003963709,NA,0.0186999998986721,0.0961000025272369,0.0392999984323978,0.0251000002026558,0.067500002682209,NA,NA,NA,NA,NA,NA,NA,0.0210999995470047,0.0197999998927116,NA,0.0219999998807907,0.25560000538826,NA,0.0148000000044703,0.0270000007003546,0.0219999998807907,NA,0.0335999988019466,0.459600001573563,0.232600003480911,0.0282000005245209,0.028999999165535,0.0315000005066395,0.0263000000268221,0.0240000002086163,NA,NA,NA,0.0198999997228384,0.0229000002145767,0.0436000004410744,NA,0.033500000834465,NA,NA,NA,NA,NA,0.0215000007301569,NA,NA,NA,0.0494999997317791,NA,0.0240000002086163,0.0208000000566244,0.0379000008106232
"S2FA16","S2FA16",0.142100006341934,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0631999969482422,NA,NA,0.12389999628067,NA,0.066100001335144,NA,0.0690999999642372,NA,0.0573000013828278,0.0284000001847744,0.0199999995529652,NA,NA,NA,NA,0.0252000000327826,0.0239000003784895,0.266200006008148,0.0122999995946884,NA,NA,0.0211999993771315,0.0253999996930361,NA,0.0148000000044703,0.270000010728836,0.0364999994635582,0.0258000008761883,0.218199998140335,NA,0.0441999994218349,NA,NA,NA,NA,NA,0.0200999993830919,0.0201999992132187,NA,0.0247000008821487,0.0253999996930361,NA,0.0126000000163913,0.0197999998927116,0.0208000000566244,NA,0.0357000008225441,0.415199995040894,NA,0.0299999993294477,0.0282000005245209,0.0364999994635582,0.0274999998509884,0.0233999993652105,NA,NA,NA,0.017000000923872,0.02280000038445,0.0430000014603138,NA,0.0269000008702278,NA,NA,NA,NA,NA,0.0236000008881092,NA,NA,NA,0.0388000011444092,NA,0.0240000002086163,0.0204000007361174,0.0337000004947186
"S2FA17","S2FA17",0.155300006270409,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0811000019311905,NA,NA,0.1300999969244,NA,0.0668999999761581,NA,0.0768999978899956,NA,0.0236000008881092,0.0300999991595745,0.138099998235703,NA,NA,0.118299998342991,NA,0.023199999704957,0.0232999995350838,NA,0.0245999991893768,NA,0.211199998855591,0.126300007104874,0.0264999996870756,NA,0.025000000372529,0.028999999165535,0.0297999996691942,0.0245999991893768,0.0209999997168779,NA,0.107600003480911,NA,NA,NA,NA,NA,0.0201999992132187,0.0204000007361174,0.0456000007688999,0.0278999991714954,NA,NA,0.0253999996930361,0.0196000002324581,0.0206000003963709,NA,0.0252000000327826,0.0397999994456768,0.235400006175041,0.271800011396408,0.12219999730587,NA,0.0226000007241964,0.0244999993592501,NA,NA,NA,0.0176999997347593,0.0212999992072582,0.0447000004351139,NA,0.0275999996811152,NA,NA,NA,NA,NA,0.0194000005722046,NA,NA,NA,0.0406000018119812,NA,NA,0.0157999992370605,0.0384999997913837
