"","id","Day61","Day65","Day66","Day68","Day70","Day73","Day77","Day78","Day80","Day82","Day85","Day89","Day90","Day92","Day94","Day97","Day101","Day102","Day104","Day106","Day109","Day113","Day114","Day116","Day118","Day121","Day125","Day126","Day128","Day130","Day133","Day137","Day138","Day140","Day142","Day145","Day149","Day150","Day152","Day154","Day157","Day161","Day162","Day164","Day166","Day169","Day173","Day174","Day176","Day178","Day181","Day185","Day186","Day188","Day190","Day193","Day197","Day198","Day200","Day202","Day205","Day209","Day210","Day212","Day214","Day217","Day221","Day222","Day224","Day226","Day229","Day233","Day234","Day236","Day238","Day241","Day245","Day246","Day248","Day250","Day253","Day257","Day258","Day260","Day262","Day265","Day269","Day270","Day272","Day60","Day62","Day64","Day67","Day71","Day72","Day74","Day76","Day79","Day83","Day84","Day86","Day88","Day91","Day95","Day96","Day98","Day100","Day103","Day107","Day110","Day112","Day115","Day119","Day120","Day122","Day124","Day127","Day131","Day132","Day134","Day136","Day139","Day143","Day144","Day146","Day148","Day151","Day155","Day156","Day158","Day160","Day163","Day167","Day168","Day170","Day172","Day175","Day179","Day182","Day184","Day187","Day191","Day192","Day194","Day196","Day199","Day203","Day204","Day208","Day211","Day215","Day216","Day218","Day220","Day223","Day227","Day228","Day230","Day232","Day235","Day239","Day240","Day242","Day244","Day247","Day251","Day252","Day254","Day256","Day259","Day263","Day264","Day266","Day268","Day271"
"S2EB16","S2EB16",-14.2705163955688,-6.65213346481323,NA,0,-12.6258611679077,-10.7537651062012,-7.82606410980225,NA,0,-12.428861618042,-12.1256494522095,-4.96412515640259,NA,0,-9.99667167663574,-11.2952527999878,-5.99823999404907,NA,0,-12.9500827789307,-11.8308420181274,-7.61011123657227,NA,0,-11.4819316864014,-13.2454671859741,-8.55351257324219,NA,0,-10.2016448974609,-14.2581558227539,-7.44031429290771,NA,0,-13.1179237365723,-12.8952827453613,-6.54397678375244,NA,0,-11.5055074691772,-16.2953758239746,-8.57030868530273,NA,0,-13.796703338623,-13.6675882339478,-7.79611253738403,NA,0,-15.7550649642944,-15.9339485168457,-9.05277729034424,NA,0,-13.6072235107422,-14.354133605957,-7.16338348388672,NA,0,-12.8302145004272,-13.2881679534912,-7.85548210144043,NA,0,-14.7788600921631,-11.7235469818115,-6.05016231536865,NA,0,-12.7792987823486,-15.0139760971069,-8.2327823638916,NA,0,-15.8949041366577,-13.1188488006592,-7.46187257766724,NA,0,-18.2571277618408,-15.6763029098511,-7.65283632278442,NA,0,-12.4719038009644,-14.7454948425293,-9.04518508911133,NA,0,NA,0,-11.7071990966797,-10.1954107284546,-11.6236419677734,NA,0,-12.5875062942505,-11.1772184371948,-10.9307699203491,NA,0,-14.1106777191162,-9.71405029296875,-12.8093795776367,NA,0,-12.7640914916992,-12.7125406265259,-10.7228298187256,0,-12.1752347946167,-15.5143404006958,-17.8152980804443,NA,0,-16.2719707489014,-18.5297603607178,-18.6401329040527,NA,0,-14.6918954849243,-17.2558059692383,-18.2054824829102,NA,0,-13.4746742248535,-10.8766946792603,-18.132740020752,NA,0,-10.9801054000854,-19.0513973236084,-12.6286716461182,NA,0,-12.057731628418,-14.4802675247192,-18.4349422454834,0,-15.141562461853,-14.9658088684082,-6.89669609069824,NA,0,-13.2068872451782,-19.5100536346436,-6.33850002288818,NA,-13.5323238372803,-13.0512533187866,-6.50659036636353,NA,0,-10.79465675354,-17.0532894134521,-8.86714553833008,NA,0,-16.3768882751465,-12.8454494476318,-9.25607681274414,NA,0,-14.0166263580322,-13.2632598876953,-8.33274555206299,NA,0,-14.9122934341431,-15.6863536834717,-7.13869285583496,NA,0,-17.9849147796631,-15.1823310852051
"S2EB17","S2EB17",-16.9043025970459,-7.5012583732605,NA,0,-11.3802404403687,-14.6788339614868,-7.29233312606812,NA,0,-13.9958333969116,-11.4052057266235,-7.09278917312622,NA,0,-9.75087356567383,-11.0997085571289,-4.97831439971924,NA,0,-10.930118560791,-9.14348411560059,-6.0355396270752,NA,0,-12.9343223571777,-15.9702968597412,-6.05199384689331,NA,0,-19.0622291564941,-15.2593374252319,-10.0448732376099,NA,0,-12.7742385864258,-16.6135349273682,-8.00185394287109,NA,0,-9.42128467559814,-17.6011199951172,-6.77830791473389,NA,0,-11.0006666183472,-16.9994297027588,-5.8401575088501,NA,0,-12.4223127365112,-17.5076084136963,-6.70025491714478,NA,0,-12.6843109130859,-16.5442352294922,-6.04588747024536,NA,0,-9.29662418365479,-15.6568164825439,-7.57945203781128,NA,0,-10.9291610717773,-17.3673915863037,-6.0381031036377,NA,0,-13.7338857650757,-15.6818370819092,-6.54792976379395,NA,0,-12.4334850311279,-14.9583034515381,-5.32381629943848,NA,0,-10.5610361099243,-13.2020244598389,-6.3831958770752,NA,0,-10.3706436157227,-14.9829702377319,-7.57291173934937,NA,0,NA,0,-11.2723474502563,-13.5915012359619,-13.4009389877319,NA,0,-9.38305854797363,-15.9607648849487,-11.0350198745728,NA,0,-10.4102544784546,-13.7005548477173,-14.6152935028076,NA,0,-11.730263710022,-12.7336711883545,-11.6811695098877,0,-12.7576885223389,-17.0804748535156,-18.448127746582,NA,0,-16.4188251495361,-13.6488199234009,-13.0752754211426,NA,0,-14.9610109329224,-15.1888256072998,-13.7887992858887,NA,0,-16.3496532440186,-13.9547624588013,-16.1608734130859,NA,0,-13.1611824035645,-15.9780435562134,-13.024169921875,NA,0,-10.9522123336792,-16.3579921722412,-13.9004564285278,0,-15.9429540634155,-13.7122402191162,-7.57541370391846,NA,0,-15.8059425354004,-15.7798452377319,-5.51059579849243,NA,-11.3782777786255,-14.8647546768188,-7.80863475799561,NA,0,-9.90714645385742,-17.7147922515869,-6.60058927536011,NA,0,-13.9167127609253,-14.4158325195312,-6.69820642471313,NA,0,-12.7401933670044,-14.7705659866333,-8.5467004776001,NA,0,-11.0370178222656,-15.7220993041992,-7.41507244110107,NA,0,-13.0958471298218,-15.1606178283691
"S2EB18","S2EB18",-12.8064413070679,-10.7460012435913,NA,0,-15.5720376968384,-12.3994483947754,-6.66099548339844,NA,0,-13.7074613571167,-8.68269443511963,-7.38184976577759,NA,0,-14.542872428894,-11.1222276687622,-7.05698156356812,NA,0,-14.113694190979,-10.920973777771,-6.00335741043091,NA,0,-17.5794925689697,-14.3836450576782,-6.79934167861938,NA,0,-14.8640747070312,-10.2054052352905,-5.93601703643799,NA,0,-15.3062152862549,-13.6259984970093,-6.86309623718262,NA,0,-14.1553058624268,-10.6167402267456,-9.82556629180908,NA,0,-13.2394161224365,-14.8667507171631,-9.1095666885376,NA,0,-19.6302165985107,-12.5151643753052,-6.66918277740479,NA,0,-15.0147581100464,-11.6530199050903,-7.28098583221436,NA,0,-15.321665763855,-12.446138381958,-6.5693507194519,NA,0,-13.9630317687988,-12.9602632522583,-6.72508192062378,NA,0,-13.880334854126,-12.3382511138916,-8.83397483825684,NA,0,-13.6158876419067,-14.2532320022583,-8.22282314300537,NA,0,-13.7191438674927,-12.1777839660645,-7.08913612365723,NA,0,-14.05149269104,-14.0664186477661,-8.30584526062012,NA,0,NA,0,-12.8864250183105,-12.2950401306152,-11.5796823501587,NA,0,-16.9978923797607,-15.5443124771118,-17.4975032806396,NA,0,-10.9684743881226,-10.5644693374634,-13.0797662734985,NA,0,-14.137321472168,-6.97767210006714,-16.3055858612061,0,-13.598949432373,-12.1123485565186,-16.5607051849365,NA,0,-15.8025226593018,-12.2680206298828,-16.616828918457,NA,0,-13.2177114486694,-10.3425340652466,-16.3340339660645,NA,0,-15.4164896011353,-14.6801195144653,-13.7554988861084,NA,0,-14.5115404129028,-13.8465919494629,-13.515025138855,NA,0,-16.413969039917,-12.8888339996338,-14.4291400909424,0,-15.354305267334,-13.3504571914673,-7.43132638931274,NA,0,-10.5644855499268,-14.6793928146362,-4.76349687576294,NA,-15.7820959091187,-14.5214986801147,-8.03318977355957,NA,0,-14.5532703399658,-18.5142803192139,-5.32075357437134,NA,0,-14.4740123748779,-16.7382183074951,-7.35144901275635,NA,0,-15.3559551239014,-15.0908727645874,0,NA,0,-12.8117713928223,-17.7231941223145,-7.3589653968811,NA,0,-17.7759342193604,-14.5529813766479
"S2EB19","S2EB19",-15.8732738494873,-7.8984546661377,NA,0,-12.4583549499512,-18.6877250671387,-6.16776657104492,NA,0,-12.0835981369019,-14.7885618209839,-8.4442720413208,NA,0,-13.1125822067261,-13.8922090530396,-7.81005620956421,NA,0,-12.8611764907837,-12.6267051696777,-8.57016563415527,NA,0,-14.3270387649536,-10.9871940612793,-8.63285255432129,NA,0,-14.504937171936,-10.344898223877,-8.73569965362549,NA,0,-13.62193775177,-14.679144859314,-8.08408737182617,NA,0,-18.396276473999,-14.1355104446411,-7.02532052993774,NA,0,-19.7370796203613,-9.2585391998291,-8.12104225158691,NA,0,-16.7765121459961,-14.923791885376,-6.75819253921509,NA,0,-16.6021175384521,-14.0192174911499,-8.02882385253906,NA,0,-13.5729837417603,-14.1987924575806,-7.075843334198,NA,0,-16.3004016876221,-14.8841133117676,-6.71582555770874,NA,0,-15.7121906280518,-13.1591463088989,-6.8346266746521,NA,0,-12.9907913208008,-14.9747190475464,-8.06778049468994,NA,0,-14.8599700927734,-13.2679309844971,-9.86496162414551,NA,0,-12.1067876815796,-13.4343709945679,-6.90124273300171,NA,0,NA,0,-15.0433530807495,-9.88101196289062,-11.5862550735474,NA,0,-12.9407119750977,-13.6011724472046,-12.7417573928833,NA,0,-12.8304929733276,-12.5163974761963,-13.8369827270508,NA,0,-13.1634559631348,-13.19167137146,-13.4822101593018,0,-16.3472213745117,-17.6467971801758,-14.2118606567383,NA,0,-16.505931854248,-14.9606485366821,-19.0788917541504,NA,0,-13.9404125213623,-15.688533782959,-15.8154821395874,NA,0,-15.5668840408325,-16.0703258514404,-16.0829849243164,NA,0,-11.7576751708984,-13.7377643585205,-17.2537612915039,NA,0,-17.4203758239746,-13.4298658370972,-18.487585067749,0,-14.8551044464111,-16.3142147064209,-9.12983417510986,NA,0,-15.9865283966064,-14.0087127685547,-7.30133056640625,NA,-15.6123638153076,-13.9812288284302,-7.71643257141113,NA,0,-15.7729482650757,-13.9569311141968,-8.01225185394287,NA,0,-14.7975025177002,-13.4858865737915,-9.92796421051025,NA,0,-14.9629678726196,-13.8354082107544,-10.7209625244141,NA,0,-17.7069969177246,-14.4589138031006,-9.37265777587891,NA,0,-15.2257490158081,-11.8276453018188
"S2EB20","S2EB20",-13.4678201675415,-6.92141342163086,NA,0,-13.0222587585449,-12.7884044647217,-9.88016891479492,NA,0,-11.0040731430054,-11.2708396911621,-6.5956916809082,NA,0,-10.8496170043945,-11.7210855484009,-6.43810033798218,NA,0,-8.39900588989258,-8.64876079559326,-8.67474746704102,NA,0,-17.0352802276611,-15.7137460708618,-8.29112529754639,NA,0,-13.9558620452881,-14.9475603103638,-10.5859994888306,NA,0,-13.963755607605,-15.2470302581787,-5.96433734893799,NA,0,-16.877405166626,-16.1603584289551,-7.78234243392944,NA,0,-14.234058380127,-10.5773305892944,-8.60170078277588,NA,0,-12.7802495956421,-12.4165878295898,-7.77567720413208,NA,0,-16.8905258178711,-10.7594442367554,-6.74177122116089,NA,0,-11.0908136367798,-11.5643091201782,-8.68074798583984,NA,0,-14.7310066223145,-17.9202766418457,-6.16745853424072,NA,0,-17.6468658447266,-10.0022773742676,-8.3182373046875,NA,0,-16.0432224273682,-13.130166053772,-7.96685743331909,NA,0,-15.0962467193604,-12.6706418991089,-8.9115514755249,NA,0,-12.6509733200073,-12.7450456619263,-9.14414691925049,NA,0,NA,0,-11.8838453292847,-8.69147300720215,-13.1514720916748,NA,0,-13.2860221862793,-14.4916486740112,-13.5057287216187,NA,0,-11.6730442047119,-16.3682632446289,-14.2991781234741,NA,0,-17.270170211792,-9.90433120727539,-12.6098852157593,0,-13.2450847625732,-13.5444116592407,-13.9168748855591,NA,0,-14.2561388015747,-14.6289730072021,-15.5126857757568,NA,0,-17.8042259216309,-15.123423576355,-17.6037101745605,NA,0,-13.1936264038086,-11.6851034164429,-15.7445554733276,NA,0,-9.94032955169678,-17.1847534179688,-16.3631534576416,NA,0,-14.2799282073975,-14.0635509490967,-19.2114677429199,0,-15.8557872772217,-12.0977077484131,-8.87955570220947,NA,0,-16.1240749359131,-15.9047107696533,-7.31319856643677,NA,-15.1829452514648,-12.0855283737183,-7.32827806472778,NA,0,-13.9955320358276,-18.2545433044434,-6.62204122543335,NA,0,-14.8271598815918,-14.9346551895142,-12.4061107635498,NA,0,-13.6758909225464,-13.2905654907227,-7.23886060714722,NA,0,-14.2688665390015,-14.7174215316772,-8.16002655029297,NA,0,-20.3428287506104,-14.0967283248901
"S2EB21","S2EB21",-13.9245710372925,-6.80845642089844,NA,0,-10.0524806976318,-14.934965133667,-5.89644718170166,NA,0,-15.1835680007935,-12.0243167877197,-7.80984401702881,NA,0,-6.46356868743896,-13.8099613189697,-5.54223966598511,NA,0,-9.85269546508789,-12.0600128173828,-10.3725881576538,NA,0,-14.7555122375488,-14.6728534698486,-7.79598140716553,NA,0,-17.3730335235596,-13.2976198196411,-7.20505857467651,NA,0,-11.9383001327515,-14.0312337875366,-6.14346599578857,NA,0,-11.5764102935791,-13.3084268569946,-7.96820306777954,NA,0,-11.5657768249512,-13.6697664260864,-7.36374950408936,NA,0,-11.8822774887085,-11.8536787033081,-7.14281797409058,NA,0,-15.4922466278076,-13.9288597106934,-8.15002918243408,NA,0,-16.1467742919922,-15.2698421478271,-6.12290191650391,NA,0,-11.4400777816772,-14.2132043838501,-7.25941801071167,NA,0,-10.4646739959717,-12.1584873199463,-5.80396223068237,NA,0,-15.3207864761353,-15.5675668716431,-7.9016056060791,NA,0,-12.6061592102051,-14.2003030776978,-6.30652570724487,NA,0,-11.0530452728271,-16.2708396911621,-7.65171957015991,NA,0,NA,0,-11.8578090667725,-16.8468933105469,-12.8755445480347,NA,0,-15.4194231033325,-17.201114654541,-11.2376127243042,NA,0,-9.6368932723999,-15.3097581863403,-11.1575603485107,NA,0,-13.8468732833862,-12.0312738418579,-9.88583946228027,0,-12.6239805221558,-16.2070140838623,-12.847071647644,NA,0,-16.9251270294189,-13.5790548324585,-12.326099395752,NA,0,-12.6349506378174,-15.4234380722046,-15.2342224121094,NA,0,-12.5531663894653,-14.0748023986816,-15.8722438812256,NA,0,-12.0604286193848,-14.9163036346436,-10.1804533004761,NA,0,-14.7400302886963,-14.7658290863037,-16.6764945983887,0,-13.1216297149658,-18.6922473907471,-7.4761438369751,NA,0,-9.84092235565186,-14.9137563705444,-6.4982647895813,NA,-13.9683723449707,-14.360969543457,-6.54721164703369,NA,0,-10.9205884933472,-17.9748344421387,-8.35000991821289,NA,0,-16.6216678619385,-14.9115266799927,-7.90595197677612,NA,0,-13.6870212554932,-15.104377746582,-6.54175567626953,NA,0,-9.21669578552246,-15.8661994934082,-6.50225639343262,NA,0,-17.9442806243896,-16.5865573883057
"S2EB24","S2EB24",-16.876974105835,-6.70222949981689,NA,0,-10.8086032867432,-11.3957042694092,-8.52525520324707,NA,0,-11.8258514404297,-12.8955593109131,-8.18533992767334,NA,0,-8.41603565216064,-12.2418689727783,-5.8604621887207,NA,0,-15.0578918457031,-10.6878900527954,-8.67170333862305,NA,0,-14.0834121704102,-16.1262607574463,-8.92888832092285,NA,0,-14.0890083312988,-17.5463199615479,-7.87560558319092,NA,0,-12.3283843994141,-15.5671539306641,-6.82361555099487,NA,0,-11.1961803436279,-15.468602180481,-6.6766676902771,NA,0,-10.0277805328369,-15.0815505981445,-7.56186485290527,NA,0,-15.258448600769,-15.3027687072754,-6.4401535987854,NA,0,-12.6531076431274,-16.1741428375244,-6.63808584213257,NA,0,-12.6053628921509,-10.3470211029053,-7.32544612884521,NA,0,-11.4923677444458,-13.3551740646362,-7.18949699401855,NA,0,-12.2409925460815,-9.31301498413086,-5.91806888580322,NA,0,-13.7314538955688,-9.90004539489746,-8.46374130249023,NA,0,-13.8317966461182,-13.3035717010498,-7.40181732177734,NA,0,-12.2836246490479,-14.5130605697632,-7.44484567642212,NA,0,0,0,-12.0714445114136,-11.8138828277588,-15.120192527771,0,0,-11.8406076431274,-13.9568881988525,-12.9044961929321,0,0,-10.5728178024292,-12.4835233688354,-12.2033128738403,NA,0,-14.6308689117432,-14.3656921386719,-12.2710590362549,0,-10.5733613967896,-14.9105882644653,-12.0783357620239,0,0,-15.1888246536255,-11.4252023696899,-16.161111831665,0,0,-13.6188116073608,-12.797342300415,-16.5817813873291,0,0,-13.3040733337402,-13.0808305740356,-9.85924053192139,0,0,-13.8470764160156,-15.8317918777466,-19.7597732543945,0,0,-15.2718877792358,-15.6469430923462,-16.5138778686523,0,-11.2892484664917,-13.1052694320679,-10.2832536697388,0,0,-14.4560441970825,-16.0627536773682,-6.69761991500854,0,-10.6993246078491,-13.4452772140503,-7.74395179748535,0,0,-15.5627632141113,-13.2661266326904,-7.89986515045166,0,0,-12.3389387130737,-13.2642517089844,-5.1570200920105,0,0,-14.1407308578491,-13.4845285415649,-6.69789600372314,0,0,-12.2411489486694,-14.245717048645,-7.02901458740234,0,0,-15.1273288726807,-13.6190776824951
"S2EB25","S2EB25",-11.6959714889526,-7.12201070785522,NA,0,-13.7271795272827,-11.2510900497437,-7.17074918746948,NA,0,-15.3115911483765,-11.787522315979,-6.77452945709229,NA,0,-8.45610904693604,-10.0223293304443,-5.22508144378662,NA,0,-11.6144590377808,-16.3961372375488,-6.77909660339355,NA,0,-16.1034412384033,-15.7578067779541,-8.43351745605469,NA,0,-14.1470575332642,-19.3140487670898,-4.41359806060791,NA,0,-12.2267417907715,-15.8112382888794,-8.74497890472412,NA,0,-15.5992860794067,-18.0964889526367,-7.13177585601807,NA,0,-11.6197557449341,-11.8413381576538,-7.44014644622803,NA,0,-16.9573593139648,-14.7483320236206,-8.09468936920166,NA,0,-12.4840602874756,-13.6925840377808,-8.04461002349854,NA,0,-14.1333694458008,-12.7222843170166,-9.19654846191406,NA,0,-14.8268432617188,-13.5116519927979,-6.38858318328857,NA,0,-11.0763559341431,-13.7919321060181,-8.90387630462646,NA,0,-15.0803146362305,-16.1602344512939,-4.90004634857178,NA,0,-13.3825778961182,-18.007287979126,-9.28524589538574,NA,0,-11.062557220459,-12.4352598190308,-7.46557188034058,NA,0,0,0,-10.1315383911133,-14.3331089019775,-13.859016418457,0,0,-12.6947946548462,-13.3709516525269,-14.2393198013306,0,0,-9.57813167572021,-12.9461078643799,-10.7170066833496,NA,0,-15.3930969238281,-11.0419206619263,-9.65447521209717,0,-12.0642604827881,-16.0185432434082,-18.1431884765625,0,0,-15.4295558929443,-13.1766929626465,-16.3810405731201,0,0,-11.7387552261353,-17.3614540100098,-11.5289297103882,0,0,-14.498122215271,-12.7197866439819,-15.9014568328857,0,0,-14.8820362091064,-17.8617992401123,-12.2533483505249,0,0,-11.7654113769531,-14.1387634277344,-16.2284660339355,0,-15.699481010437,-13.9565334320068,-7.21789455413818,0,0,-13.6226749420166,-18.3812618255615,-8.09111785888672,0,-10.8888053894043,-14.0915584564209,-7.64618062973022,0,0,-12.9807920455933,-14.7794818878174,-9.93164157867432,0,0,-13.3840284347534,-16.1663875579834,-6.61759376525879,0,0,-19.4436531066895,-17.1173095703125,-7.76492977142334,0,0,-12.1289758682251,-12.2089958190918,-6.79036712646484,0,0,-15.3744697570801,-11.9013757705688
"S2FA09","S2FA09",-14.3232040405273,-18.7875423431396,NA,0,-10.770411491394,-11.1054668426514,-17.9084091186523,NA,0,-10.3033304214478,-14.210259437561,-12.3809623718262,NA,0,-10.970440864563,-13.2247829437256,-11.6677904129028,NA,0,-9.51116371154785,-12.3712816238403,-12.4021911621094,NA,0,-12.522500038147,-18.0094890594482,-12.1522216796875,NA,0,-14.632342338562,-18.8779144287109,-11.5998029708862,NA,0,-15.0271577835083,-15.5047559738159,-13.2222442626953,NA,0,-13.1303377151489,-16.3105068206787,-12.9664754867554,NA,0,-15.8252353668213,-17.0879726409912,-12.5392913818359,NA,0,-12.8158693313599,-14.9542713165283,-12.2828807830811,NA,0,-16.3602199554443,-13.6900329589844,-13.2476081848145,NA,0,-13.9485864639282,-14.8679943084717,-15.7325601577759,NA,0,-11.0504150390625,-16.3644104003906,-13.7697639465332,NA,0,-13.7259874343872,-11.8969326019287,-15.847056388855,NA,0,-14.1912517547607,-17.2072296142578,-14.7895088195801,NA,0,-10.7238893508911,-12.6531047821045,-16.8623828887939,NA,0,-12.2558488845825,-14.6370553970337,-13.5293884277344,NA,0,NA,0,-13.2677698135376,-10.6447772979736,-9.39807415008545,NA,0,-14.4534702301025,-21.1945152282715,-13.7811870574951,NA,0,-13.3282051086426,-13.2883529663086,-10.9859256744385,NA,0,-10.7941160202026,-12.0840539932251,-11.817120552063,0,-15.9985580444336,-13.217547416687,-12.9814739227295,NA,0,-15.8557577133179,-14.5455846786499,-15.9747037887573,NA,0,-11.9335222244263,-16.0003089904785,-13.6793985366821,NA,0,-13.1465339660645,-12.8656730651855,-12.9568214416504,NA,0,-14.7714557647705,-13.2053642272949,-11.5857019424438,NA,0,-15.2310676574707,-22.1401691436768,-13.9660778045654,0,-14.0663166046143,-13.3314151763916,-17.077844619751,NA,0,-14.1822576522827,-18.1681976318359,-15.7548112869263,NA,-11.9839305877686,-13.9835824966431,-14.3474206924438,NA,0,-9.51057243347168,-15.5689344406128,-14.1418943405151,NA,0,-14.3652334213257,-12.4120588302612,-22.4995708465576,NA,0,-17.0555000305176,-16.3369121551514,-14.3759412765503,NA,0,-11.0879058837891,-17.1844844818115,-14.2800531387329,NA,0,-14.5686082839966,-14.1751146316528
"S2FA13","S2FA13",-15.5208559036255,-17.0868663787842,NA,0,-12.8695783615112,-13.6155948638916,-19.2603588104248,NA,0,-12.2822275161743,-16.2980041503906,-12.3747854232788,NA,0,-12.7071838378906,-11.2061796188354,-12.5997076034546,NA,0,-11.2941112518311,-14.8179769515991,-19.8235664367676,NA,0,-16.1597919464111,-14.3283205032349,-16.2867050170898,NA,0,-14.1917018890381,-16.5678253173828,-17.3263568878174,NA,0,-13.6939506530762,-12.5199031829834,-14.8251171112061,NA,0,-16.3438663482666,-13.3688058853149,-13.6723642349243,NA,0,-16.5894203186035,-12.3248977661133,-15.7413883209229,NA,0,-15.7363176345825,-13.1472854614258,-16.7853088378906,NA,0,-15.5055084228516,-15.566333770752,-14.5635099411011,NA,0,-12.9243822097778,-14.3401107788086,-14.9083070755005,NA,0,-13.7969923019409,-16.1168727874756,-19.0590076446533,NA,0,-17.8204174041748,-13.4702644348145,-21.9990577697754,NA,0,-17.5425453186035,-17.9182777404785,-14.6790256500244,NA,0,-15.8013601303101,-16.8673515319824,-18.3711051940918,NA,0,-15.7101593017578,-19.0031566619873,-15.1828832626343,NA,0,NA,0,-12.065131187439,-16.3214550018311,-12.3514518737793,NA,0,-16.7486801147461,-16.248649597168,-15.5635280609131,NA,0,-14.6462984085083,-10.2048778533936,-12.3797235488892,NA,0,-17.8904857635498,-12.4558811187744,-13.9432611465454,0,-14.4733047485352,-12.3762521743774,-17.4197883605957,NA,0,-16.8250961303711,-19.4114112854004,-15.6888046264648,NA,0,-12.7209186553955,-13.5760879516602,-16.9971237182617,NA,0,-13.1943759918213,-14.7177696228027,-13.2482805252075,NA,0,-16.0580368041992,-15.3250112533569,-16.6431770324707,NA,0,-15.0471906661987,-14.1222810745239,-17.2373275756836,0,-15.9944858551025,-16.0496406555176,-16.1708755493164,NA,0,-18.809476852417,-17.8622722625732,-18.4447479248047,NA,-13.3592863082886,-17.2027397155762,-15.3831720352173,NA,0,-14.8758878707886,-12.5321397781372,-16.8441905975342,NA,0,-15.6036396026611,-17.3826198577881,-15.3476276397705,NA,0,-15.8310012817383,-13.9755754470825,-15.4855804443359,NA,0,-16.8516311645508,-16.4796752929688,-15.0072717666626,NA,0,-16.5419864654541,-13.0659694671631
