"","id","Day61","Day65","Day66","Day68","Day70","Day73","Day77","Day78","Day80","Day82","Day85","Day89","Day90","Day92","Day94","Day97","Day101","Day102","Day104","Day106","Day109","Day113","Day114","Day116","Day118","Day121","Day125","Day126","Day128","Day130","Day133","Day137","Day138","Day140","Day142","Day145","Day149","Day150","Day152","Day154","Day157","Day161","Day162","Day164","Day166","Day169","Day173","Day174","Day176","Day178","Day181","Day185","Day186","Day188","Day190","Day193","Day197","Day198","Day200","Day202","Day205","Day209","Day210","Day212","Day214","Day217","Day221","Day222","Day224","Day226","Day229","Day233","Day234","Day236","Day238","Day241","Day245","Day246","Day248","Day250","Day253","Day257","Day258","Day260","Day262","Day265","Day269","Day270","Day272","Day60","Day62","Day64","Day67","Day71","Day72","Day74","Day76","Day79","Day83","Day84","Day86","Day88","Day91","Day95","Day96","Day98","Day100","Day103","Day107","Day110","Day112","Day115","Day119","Day120","Day122","Day124","Day127","Day131","Day132","Day134","Day136","Day139","Day143","Day144","Day146","Day148","Day151","Day155","Day156","Day158","Day160","Day163","Day167","Day168","Day170","Day172","Day175","Day179","Day182","Day184","Day187","Day191","Day192","Day194","Day196","Day199","Day203","Day204","Day208","Day211","Day215","Day216","Day218","Day220","Day223","Day227","Day228","Day230","Day232","Day235","Day239","Day240","Day242","Day244","Day247","Day251","Day252","Day254","Day256","Day259","Day263","Day264","Day266","Day268","Day271"
"S2EB16","S2EB16",-11.6381511688232,-5.35974454879761,NA,0,-2.5926833152771,-9.03389263153076,-4.32364463806152,NA,0,-5.59869575500488,-9.71373844146729,-3.89357757568359,NA,0,-7.53089189529419,-6.69478178024292,-5.16345357894897,NA,0,-6.42204475402832,-6.25862169265747,-4.00151968002319,NA,0,-9.12949562072754,-8.09811782836914,-5.31807422637939,NA,0,-8.59194946289062,-9.0642261505127,-5.33123636245728,NA,0,-8.93788909912109,-5.77532482147217,-4.2200984954834,NA,0,-8.97091960906982,-7.42615747451782,-5.97794628143311,NA,0,-9.3013219833374,-8.52909755706787,-2.8198618888855,NA,0,-6.96600818634033,-6.19436693191528,-4.34371614456177,NA,0,-8.01683139801025,-7.64414834976196,-3.43493390083313,NA,0,-3.98425984382629,-8.10630989074707,-3.44392681121826,NA,0,-6.2965259552002,-6.16354036331177,-4.09451150894165,NA,0,-6.05008363723755,-7.07678842544556,-6.59677934646606,NA,0,-9.31854724884033,-10.2385330200195,-2.89780569076538,NA,0,-8.87065029144287,-10.7126045227051,-4.471764087677,NA,0,-8.37213516235352,-9.24816417694092,-5.4025616645813,NA,0,NA,0,-4.95992136001587,-7.65193128585815,-3.79578113555908,NA,0,-7.67240142822266,-9.36008930206299,-6.75402498245239,NA,0,-4.22231101989746,-7.73898458480835,-6.178053855896,NA,0,-6.24207210540771,-5.26664972305298,-7.1479320526123,0,-9.36581420898438,-8.35772514343262,-8.88694095611572,NA,0,-7.29692697525024,-9.39223480224609,-8.00663280487061,NA,0,-6.00644779205322,-7.96533393859863,-10.2413892745972,NA,0,-7.84924745559692,-6.11720275878906,-9.12373065948486,NA,0,-5.46540927886963,-7.13463163375854,-9.29959964752197,NA,0,-14.6193017959595,-7.15682983398438,-4.72895765304565,0,-7.97851037979126,-6.94245195388794,-4.10473489761353,NA,0,-5.18080425262451,-10.1505889892578,-2.94011569023132,NA,-2.47466945648193,-6.85085010528564,-4.51119661331177,NA,0,-9.7988452911377,-10.267463684082,-4.38517189025879,NA,0,-5.35866832733154,-7.77959489822388,-5.41902208328247,NA,0,-6.07644319534302,-8.08581924438477,-4.02569580078125,NA,0,-6.49965572357178,-8.08986568450928,-4.58781433105469,NA,0,-12.8272361755371,-8.3991584777832
"S2EB17","S2EB17",-7.66324090957642,-4.27557468414307,NA,0,-5.59717082977295,-8.10340023040771,-4.0080451965332,NA,0,-8.89106559753418,-10.0989074707031,-4.80995178222656,NA,0,-5.02805662155151,-7.27033615112305,-3.07461762428284,NA,0,-3.87310552597046,-6.49258708953857,-2.58911156654358,NA,0,-9.88974189758301,-8.27166366577148,-3.85982990264893,NA,0,-6.34355545043945,-6.06016683578491,-3.58058977127075,NA,0,-4.59007453918457,-6.85128831863403,-2.73161935806274,NA,0,-3.71863770484924,-6.25479364395142,-3.95347809791565,NA,0,-7.07608842849731,-6.92790460586548,-4.16510629653931,NA,0,-6.43793916702271,-10.1859331130981,-3.97706723213196,NA,0,-10.8784770965576,-6.03537845611572,-3.65400218963623,NA,0,-3.41543555259705,-8.07063484191895,-4.15255880355835,NA,0,-7.27111768722534,-8.31156921386719,-2.93824219703674,NA,0,-6.10416126251221,-8.41587448120117,-3.88226079940796,NA,0,-5.82150459289551,-9.91308879852295,-3.6424868106842,NA,0,-4.11055040359497,-8.15952110290527,-4.60244035720825,NA,0,-5.41584396362305,-8.21569633483887,-5.30126523971558,NA,0,NA,0,-4.95031547546387,-8.09238529205322,-5.21665525436401,NA,0,-5.47181081771851,-9.36435508728027,-5.42832374572754,NA,0,-3.84059524536133,-5.47072124481201,-7.06242656707764,NA,0,-4.34706449508667,-8.29497051239014,-3.03295254707336,0,-2.89417123794556,-7.72064161300659,-7.51107168197632,NA,0,-7.19825410842896,-8.60952091217041,-10.0859260559082,NA,0,-6.92308282852173,-9.58224964141846,-8.77019882202148,NA,0,-6.95599746704102,-7.91642904281616,-8.41679573059082,NA,0,-3.4901397228241,-7.1640830039978,-6.88120031356812,NA,0,-4.35722303390503,-6.97973012924194,-8.95632934570312,0,-5.61672163009644,-9.16888618469238,-1.31304156780243,NA,0,-5.47989463806152,-12.098970413208,-2.79699230194092,NA,-5.70076322555542,-9.74786567687988,-3.40798091888428,NA,0,-5.67342805862427,-9.22805023193359,-2.9408164024353,NA,0,-5.52701807022095,-8.18338775634766,-4.08754062652588,NA,0,-6.94279623031616,-8.37769889831543,-3.09624409675598,NA,0,-4.1784725189209,-9.62792110443115,-4.3415699005127,NA,0,-10.1476125717163,-9.93360137939453
"S2EB18","S2EB18",-8.05658435821533,-4.76891422271729,NA,0,-7.9883599281311,-7.70179891586304,-5.22598218917847,NA,0,-6.82210206985474,-6.33815145492554,-5.74443292617798,NA,0,-9.11182403564453,-2.17980861663818,-4.29051494598389,NA,0,-9.24809169769287,-4.85531616210938,-3.00682878494263,NA,0,-7.36843204498291,-7.08392667770386,-3.65727257728577,NA,0,-8.99493598937988,-5.38933563232422,-3.85705041885376,NA,0,-10.8374795913696,-10.323486328125,-3.516446352005,NA,0,-10.2755918502808,-8.26077938079834,-3.6313009262085,NA,0,-8.66119384765625,-9.4070463180542,-5.70248889923096,NA,0,-7.82197523117065,-8.48109817504883,-4.21617221832275,NA,0,-9.18652057647705,-6.82482862472534,-5.08986759185791,NA,0,-4.91105079650879,-4.59285593032837,-4.81451034545898,NA,0,-10.1621789932251,-9.81190490722656,-5.36220502853394,NA,0,-9.75219535827637,-4.52145910263062,-5.56414651870728,NA,0,-6.54662466049194,-5.37063550949097,-3.80574703216553,NA,0,-7.6441502571106,-9.4685230255127,-3.77679705619812,NA,0,-11.5105972290039,-6.10582113265991,-4.68087482452393,NA,0,NA,0,-8.3258056640625,-4.84208917617798,-6.49215269088745,NA,0,-10.7713956832886,-11.0220546722412,-11.5597581863403,NA,0,-6.84796285629272,-8.67923641204834,-7.55058526992798,NA,0,-5.65401744842529,-9.10859870910645,-9.1862850189209,0,-6.2722544670105,-6.69754838943481,-10.3156251907349,NA,0,-8.77013301849365,-7.96570777893066,-6.89845657348633,NA,0,-10.3483228683472,-7.29848957061768,-9.56082248687744,NA,0,-10.3028564453125,-6.4914116859436,-6.73025035858154,NA,0,-8.95976161956787,-4.39432573318481,-8.94363403320312,NA,0,-7.96443843841553,-6.84776878356934,-9.66616725921631,0,-5.92799615859985,-4.96516132354736,-5.26356601715088,NA,0,-8.25576305389404,-9.25103664398193,1.3441675901413,NA,-10.0861740112305,-7.29117965698242,-4.37577772140503,NA,0,-4.609938621521,-7.73543071746826,-3.74581027030945,NA,0,-9.39219093322754,-7.11333751678467,-0.629302978515625,NA,0,-12.3212862014771,-7.61820936203003,0,NA,0,-12.7351589202881,-6.71132946014404,-4.76289033889771,NA,0,-8.10434246063232,-9.34352207183838
"S2EB19","S2EB19",-10.3264760971069,-5.77235174179077,NA,0,-7.63922548294067,-5.85938787460327,-4.45158386230469,NA,0,-8.52329540252686,-8.67404270172119,-3.30352377891541,NA,0,-6.90296268463135,-8.14075374603271,-6.12678241729736,NA,0,-6.15544366836548,-5.05233478546143,-3.48454570770264,NA,0,-11.4377851486206,-9.04197120666504,-3.86189031600952,NA,0,-8.25171661376953,-6.02959537506104,-5.85089826583862,NA,0,-6.97071552276611,-8.35703468322754,-4.44520139694214,NA,0,-8.07771015167236,-8.02100467681885,-5.31986474990845,NA,0,-11.250638961792,-9.16307640075684,-5.46607160568237,NA,0,-6.61173057556152,-6.42995452880859,-5.34779214859009,NA,0,-9.15500640869141,-8.78998851776123,-4.46504211425781,NA,0,-11.0676364898682,-3.43864989280701,-3.81789445877075,NA,0,-9.33168983459473,-7.36831188201904,-5.04810953140259,NA,0,-8.16842842102051,-10.060601234436,-4.899001121521,NA,0,-7.6262412071228,-9.45560264587402,-3.90133047103882,NA,0,-12.4922523498535,-8.06417655944824,-3.72438359260559,NA,0,-8.04086494445801,-8.17055702209473,-4.14255523681641,NA,0,NA,0,-10.9623718261719,-12.5915908813477,-9.21157360076904,NA,0,-10.7662782669067,-7.86343622207642,-9.07147312164307,NA,0,-8.25753784179688,-7.36136245727539,-6.15833330154419,NA,0,-7.25727844238281,-7.08180570602417,-7.31763219833374,0,-9.84642314910889,-10.2699728012085,-11.4335088729858,NA,0,-9.45777130126953,-9.68263816833496,-9.28443241119385,NA,0,-7.46278858184814,-7.64328193664551,-13.1455841064453,NA,0,-9.11222171783447,-10.9280099868774,-10.0461139678955,NA,0,-10.698429107666,-9.3761739730835,-9.99036407470703,NA,0,-10.4809093475342,-6.07231950759888,-9.74484443664551,0,-6.07259511947632,-6.64275169372559,-5.19844484329224,NA,0,-11.5503053665161,-6.18133974075317,-4.93142366409302,NA,-7.1381196975708,-6.59295463562012,-2.93217825889587,NA,0,-7.83616352081299,-7.01764154434204,-5.01885890960693,NA,0,-6.31349945068359,-7.85413122177124,-3.99117493629456,NA,0,-11.110818862915,-9.28389263153076,-5.04721403121948,NA,0,-8.6115140914917,-10.4164485931396,-4.55812072753906,NA,0,-10.3634853363037,-6.009446144104
"S2EB20","S2EB20",-8.13077735900879,-4.36169576644897,NA,0,-10.5961818695068,-10.2770519256592,-4.87134313583374,NA,0,-7.11784029006958,-8.88270568847656,-3.44843006134033,NA,0,-7.44525241851807,-8.65210819244385,-3.01087355613708,NA,0,-9.45292663574219,-6.80860376358032,-4.97213888168335,NA,0,-5.5515284538269,-6.76568937301636,-4.69147634506226,NA,0,-7.95906591415405,-5.9845085144043,-4.90109872817993,NA,0,-8.5990514755249,-9.28710460662842,-3.29875135421753,NA,0,-7.84982013702393,-5.74794626235962,-5.45803451538086,NA,0,-8.14743137359619,-5.24432611465454,-5.79290437698364,NA,0,-6.61051845550537,-3.70942401885986,-4.57592391967773,NA,0,-7.11342239379883,-7.91354990005493,-5.14721632003784,NA,0,-7.55014991760254,-7.51311063766479,-3.81608819961548,NA,0,-8.47348594665527,-7.70560026168823,-3.8916072845459,NA,0,-10.5944423675537,-10.0938339233398,-3.36214327812195,NA,0,-10.737979888916,-9.29789733886719,-3.89195442199707,NA,0,-7.12616777420044,-8.54069709777832,-3.61292290687561,NA,0,-10.3105888366699,-12.0262432098389,-5.87636661529541,NA,0,NA,0,-5.67471551895142,-9.57910823822021,-6.72055006027222,NA,0,-9.30400085449219,-12.1446971893311,-10.0329923629761,NA,0,-5.89664077758789,-9.19996452331543,-7.98395252227783,NA,0,-6.64630031585693,-8.36433982849121,-4.6704568862915,0,-9.89445781707764,-9.32841300964355,-7.30855798721313,NA,0,-5.1131739616394,-6.93138313293457,-11.196496963501,NA,0,-8.47348022460938,-5.7122631072998,-7.41850185394287,NA,0,-10.8217153549194,-7.04847240447998,-8.84719371795654,NA,0,-9.24087142944336,-8.17997550964355,-11.5944194793701,NA,0,-7.11391448974609,-9.50829219818115,-8.28439235687256,0,-8.05745124816895,-10.2386388778687,-3.70192241668701,NA,0,-8.37673664093018,-5.33961820602417,-4.41132879257202,NA,-10.3409214019775,-8.20676517486572,-3.9736053943634,NA,0,-10.0787830352783,-8.1610860824585,-4.75795316696167,NA,0,-7.73532676696777,-7.49017095565796,-3.51831483840942,NA,0,-8.459792137146,-8.36066818237305,-4.5518159866333,NA,0,-12.160551071167,-6.20134687423706,-3.87752771377563,NA,0,-11.6036214828491,-8.59691429138184
"S2EB21","S2EB21",-9.40672016143799,-3.05206751823425,NA,0,-5.19773054122925,-5.22698068618774,-4.75086069107056,NA,0,-6.93674182891846,-6.51483345031738,-4.77996015548706,NA,0,-2.81978225708008,-8.13418579101562,-4.50162887573242,NA,0,-7.05268096923828,-7.74263000488281,-4.3485279083252,NA,0,-8.2250337600708,-9.32552337646484,-4.68772220611572,NA,0,-8.61489677429199,-7.26624441146851,-4.11208868026733,NA,0,-10.1757860183716,-8.84490299224854,-4.10397815704346,NA,0,-6.63991689682007,-8.81300735473633,-3.31094717979431,NA,0,-8.22264194488525,-7.99734735488892,-4.01074981689453,NA,0,-9.34892272949219,-8.40182304382324,-4.85746049880981,NA,0,-7.29079627990723,-11.7065143585205,-2.87521553039551,NA,0,-7.55376148223877,-5.52864789962769,-3.95619535446167,NA,0,-5.27250242233276,-6.88331079483032,-1.98607075214386,NA,0,-6.48513269424438,-7.59498691558838,-2.85981822013855,NA,0,-5.56463813781738,-9.12197875976562,-5.120361328125,NA,0,-7.2276725769043,-7.90070104598999,-4.00932836532593,NA,0,-6.61969137191772,-12.0116844177246,-3.26373410224915,NA,0,NA,0,-7.68261003494263,-7.9172887802124,-6.75082111358643,NA,0,-7.57888269424438,-11.84397315979,-6.58249759674072,NA,0,-7.46538400650024,-7.50225448608398,-6.7117772102356,NA,0,-7.31184244155884,-5.9691162109375,-6.05307626724243,0,-9.47219085693359,-12.0070791244507,-5.28151273727417,NA,0,-9.30976009368896,-6.92789649963379,-10.7460012435913,NA,0,-6.97476243972778,-11.6445474624634,-6.54235553741455,NA,0,-3.49372696876526,-9.00104713439941,-6.37843370437622,NA,0,-6.28667974472046,-8.5786600112915,-3.945561170578,NA,0,-8.53266334533691,-9.81123638153076,-6.17145872116089,0,-5.37591075897217,-9.20296859741211,-3.34612488746643,NA,0,-6.1417236328125,-8.06452369689941,-6.11922979354858,NA,-5.74751710891724,-12.9410037994385,-4.75935029983521,NA,0,-10.8915157318115,-8.62370681762695,-3.06906366348267,NA,0,-4.26889276504517,-8.97994136810303,-6.68664598464966,NA,0,-8.17180252075195,-10.6371374130249,-4.0453724861145,NA,0,-5.69856786727905,-10.980073928833,-5.07470512390137,NA,0,-7.1090087890625,-10.5037050247192
"S2EB24","S2EB24",-8.31335067749023,-4.38556003570557,NA,0,-6.62622976303101,-9.10924530029297,-4.89044189453125,NA,0,-4.43413782119751,-7.82381391525269,-5.04223394393921,NA,0,-8.50510120391846,-4.62827157974243,-3.2605185508728,NA,0,-5.37876749038696,-8.60686779022217,-3.42670631408691,NA,0,-4.89410161972046,-8.86817646026611,-5.50657796859741,NA,0,-8.26761150360107,-8.93408870697021,-3.53179168701172,NA,0,-5.0706729888916,-11.5669641494751,-2.44314551353455,NA,0,-5.11043119430542,-6.81847953796387,-4.23772096633911,NA,0,-9.3414363861084,-10.3660116195679,-5.28780508041382,NA,0,-6.84817123413086,-4.94584512710571,-4.35448503494263,NA,0,-7.46455764770508,-8.79317474365234,-3.78631854057312,NA,0,-11.5276718139648,-7.68689680099487,-4.52005910873413,NA,0,-6.53001737594604,-10.7181053161621,-4.50950765609741,NA,0,-9.21396541595459,-8.9424934387207,-2.40644931793213,NA,0,-8.0309009552002,-8.82616996765137,-3.75137376785278,NA,0,-8.77141284942627,-7.11600112915039,-5.02361679077148,NA,0,-8.55624103546143,-7.71855211257935,-2.85606527328491,NA,0,0,0,-6.36684083938599,-5.46015644073486,-6.58751344680786,0,0,-5.1800012588501,-8.59125995635986,-7.58147716522217,0,0,-4.00255966186523,-7.07935380935669,-6.59727621078491,NA,0,-8.07986831665039,-6.68922233581543,-7.279128074646,0,-6.00289916992188,-6.65049314498901,-6.98578929901123,0,0,-9.54244422912598,-5.92468404769897,-7.03837013244629,0,0,-5.96023368835449,-8.00221252441406,-8.40872383117676,0,0,-9.63568782806396,-8.54446697235107,-7.72153329849243,0,0,-7.09039115905762,-5.39637231826782,-7.40291452407837,0,0,-5.0293025970459,-10.8765077590942,-6.55257892608643,0,-10.1436586380005,-7.76271486282349,-3.58470392227173,0,0,-7.3658242225647,-7.07811117172241,-3.51388716697693,0,-9.00586223602295,-6.046706199646,-3.08360600471497,0,0,-6.795325756073,-6.65594005584717,-3.19704174995422,0,0,-6.30177211761475,-7.10795879364014,-4.34457206726074,0,0,-9.84578800201416,-7.60944652557373,-5.55733823776245,0,0,-5.05572032928467,-9.06501388549805,-3.62975478172302,0,0,-6.49120664596558,-9.10845947265625
"S2EB25","S2EB25",-13.2779693603516,-4.75003242492676,NA,0,-4.70732879638672,-4.72853803634644,-5.30301094055176,NA,0,-5.3737530708313,-8.17659664154053,-5.47327041625977,NA,0,-8.70515823364258,-6.57101345062256,-4.59295558929443,NA,0,-6.05416917800903,-8.02678108215332,-3.04899644851685,NA,0,-8.14614772796631,-8.59522342681885,-6.55841398239136,NA,0,-11.2866144180298,-10.7564792633057,-3.20091581344604,NA,0,-11.3999614715576,-7.22274017333984,-5.61247491836548,NA,0,-6.66493463516235,-7.17833852767944,-4.09921360015869,NA,0,-5.57172298431396,-6.44673538208008,-6.62079668045044,NA,0,-7.50458478927612,-10.2944068908691,-2.5382969379425,NA,0,-8.63522243499756,-10.5449485778809,-5.02939939498901,NA,0,-9.19331169128418,-6.15063190460205,-3.7477388381958,NA,0,-4.52823209762573,-7.77699851989746,-2.99033737182617,NA,0,-5.91996574401855,-7.49953842163086,-2.83562397956848,NA,0,-7.8674783706665,-8.08948707580566,-3.89844536781311,NA,0,-4.1457953453064,-8.63124942779541,-5.71334886550903,NA,0,-8.56378555297852,-9.45990753173828,-4.74476194381714,NA,0,0,0,-4.83779621124268,-6.36208868026733,-6.54316425323486,0,0,-9.58253479003906,-8.03520965576172,-10.4449014663696,0,0,-8.01962566375732,-6.70838308334351,-10.122597694397,NA,0,-5.36044979095459,-7.86115264892578,-6.99811935424805,0,-8.60146903991699,-6.97406959533691,-6.33057308197021,0,0,-4.57994747161865,-6.16860294342041,-9.38114070892334,0,0,-7.75137805938721,-8.38081932067871,-8.1240119934082,0,0,-6.29751396179199,-7.05334663391113,-8.02646732330322,0,0,-6.8692512512207,-9.90178966522217,-9.31349563598633,0,0,-8.8965368270874,-7.42647981643677,-8.46119594573975,0,-8.24524116516113,-10.8855619430542,-4.72344064712524,0,0,-7.39856386184692,-9.27338790893555,-3.4063549041748,0,-3.9557523727417,-11.0330877304077,-2.56978583335876,0,0,-5.12297439575195,-9.2108211517334,-2.8202052116394,0,0,-8.55618858337402,-7.42950248718262,-6.44634819030762,0,0,-10.1736392974854,-7.61165571212769,-3.84007477760315,0,0,-8.96115398406982,-8.97430324554443,-5.50862407684326,0,0,-8.64998817443848,-6.57138156890869
"S2FA09","S2FA09",-9.79978084564209,-11.6095409393311,NA,0,-8.14122486114502,-4.88323450088501,-11.5131950378418,NA,0,-8.30653476715088,-7.87244176864624,-6.89437818527222,NA,0,-11.4001455307007,-9.13271427154541,-5.9808349609375,NA,0,-10.4916048049927,-6.53925514221191,-11.6516351699829,NA,0,-6.84074115753174,-7.8236837387085,-8.22357749938965,NA,0,-7.44944429397583,-11.1151714324951,-5.98470830917358,NA,0,-9.96721744537354,-10.3596334457397,-5.62195873260498,NA,0,-8.98145008087158,-6.24727964401245,-6.58276700973511,NA,0,-7.27294635772705,-10.5432186126709,-9.78297328948975,NA,0,-6.55706357955933,-5.77169275283813,-9.53690719604492,NA,0,-6.65150737762451,-7.97718667984009,-4.55938005447388,NA,0,-7.78790998458862,-5.69492816925049,-8.67764091491699,NA,0,-8.28022861480713,-10.0135717391968,-6.71856117248535,NA,0,-7.10351657867432,-10.4418821334839,-7.64533472061157,NA,0,-5.06298685073853,-7.64107847213745,-7.16802024841309,NA,0,-4.81110048294067,-7.85544776916504,-7.05510330200195,NA,0,-6.76522827148438,-9.79821872711182,-6.60563802719116,NA,0,NA,0,-6.12086486816406,-8.97556495666504,-5.91023683547974,NA,0,-5.56086540222168,-8.65911769866943,-10.7818965911865,NA,0,-4.5138201713562,-9.69197368621826,-4.8091254234314,NA,0,-4.45470094680786,-6.91300106048584,-5.00341033935547,0,-8.81654262542725,-9.41309452056885,-7.97764539718628,NA,0,-8.06688499450684,-15.4023561477661,-6.904616355896,NA,0,-6.72313976287842,-8.5946798324585,-6.09041929244995,NA,0,-8.15083694458008,-5.99245834350586,-6.12975120544434,NA,0,-5.51118564605713,-6.45090913772583,-10.2781372070312,NA,0,-7.25002002716064,-10.0428266525269,-6.69465160369873,0,-6.55006217956543,-11.028528213501,-9.56800937652588,NA,0,-6.37734460830688,-8.12146186828613,-10.6395740509033,NA,-6.02059078216553,-6.49581909179688,-10.9196319580078,NA,0,-9.25459671020508,-7.32719135284424,-7.41170740127563,NA,0,-6.53139400482178,-9.38929843902588,-8.23687076568604,NA,0,-9.32956790924072,-9.64068222045898,-9.79561233520508,NA,0,-5.50948715209961,-7.21000385284424,-6.26390314102173,NA,0,-8.03531932830811,-8.62643718719482
"S2FA13","S2FA13",-8.53745651245117,-10.5038146972656,NA,0,-8.3091516494751,-6.40925407409668,-10.9234600067139,NA,0,-7.49391651153564,-5.92165517807007,-9.94368553161621,NA,0,-9.50583839416504,-7.97658252716064,-10.3426542282104,NA,0,-5.95374917984009,-6.12707424163818,-13.9201688766479,NA,0,-8.67520904541016,-7.49899911880493,-9.39025592803955,NA,0,-6.5039005279541,-6.91276359558105,-9.2598934173584,NA,0,-6.73908185958862,-8.28110980987549,-11.7540616989136,NA,0,-6.24574995040894,-8.43645668029785,-6.04878854751587,NA,0,-11.0954637527466,-9.18659687042236,-10.1947393417358,NA,0,-6.42750406265259,-7.94551420211792,-9.47475624084473,NA,0,-6.54485750198364,-8.30893421173096,-7.18055057525635,NA,0,-8.27164363861084,-7.13183450698853,-8.90341854095459,NA,0,-8.87729454040527,-12.6033525466919,-7.95646190643311,NA,0,-10.4230699539185,-7.18755197525024,-10.4147491455078,NA,0,-9.09668827056885,-6.48036432266235,-7.51443195343018,NA,0,-9.46124649047852,-7.18997812271118,-9.97208976745605,NA,0,-11.2931051254272,-10.6886558532715,-12.0705690383911,NA,0,NA,0,-9.52190780639648,-4.78643274307251,-6.8404107093811,NA,0,-8.91460132598877,-8.63099193572998,-9.63877773284912,NA,0,-4.76136541366577,-6.05875301361084,-8.91226291656494,NA,0,-2.33313894271851,-6.23639488220215,-6.97733354568481,0,-5.45668935775757,-11.0128507614136,-8.46205139160156,NA,0,-7.16343259811401,-11.1580753326416,-9.5121488571167,NA,0,-8.30374240875244,-7.51842641830444,-11.8669996261597,NA,0,-9.64578723907471,-10.3518838882446,-9.63766670227051,NA,0,-7.35567665100098,-8.31995582580566,-11.4875049591064,NA,0,-7.07265996932983,-7.28425264358521,-10.6172523498535,0,-8.91398143768311,-5.22656965255737,-9.2409200668335,NA,0,-9.53967189788818,-9.02569389343262,-8.24563026428223,NA,-5.94704961776733,-8.02595901489258,-8.67480182647705,NA,0,-6.8438868522644,-10.8317766189575,-10.0128536224365,NA,0,-8.33683013916016,-5.51690006256104,-8.3740930557251,NA,0,-11.1700859069824,-9.32489967346191,-9.72959327697754,NA,0,-11.1620683670044,-9.81165981292725,-11.9457025527954,NA,0,-8.36693859100342,-6.45764064788818
